Kabupaten_Kota,Persentase_Penduduk_Miskin,Tahun
KABUPATEN BOGOR,7.14,2018
KABUPATEN SUKABUMI,6.76,2018
KABUPATEN CIANJUR,9.81,2018
KABUPATEN BANDUNG,6.65,2018
KABUPATEN GARUT,9.27,2018
KABUPATEN TASIKMALAYA,9.85,2018
KABUPATEN CIAMIS,7.22,2018
KABUPATEN KUNINGAN,12.22,2018
KABUPATEN CIREBON,10.7,2018
KABUPATEN MAJALENGKA,10.79,2018
KABUPATEN SUMEDANG,9.76,2018
KABUPATEN INDRAMAYU,11.89,2018
KABUPATEN SUBANG,8.67,2018
KABUPATEN PURWAKARTA,7.99,2018
KABUPATEN KARAWANG,8.06,2018
KABUPATEN BEKASI,4.37,2018
KABUPATEN BANDUNG BARAT,10.06,2018
KABUPATEN PANGANDARAN,8.12,2018
KOTA BOGOR,5.93,2018
KOTA SUKABUMI,7.12,2018
KOTA BANDUNG,3.57,2018
KOTA CIREBON,8.88,2018
KOTA BEKASI,4.11,2018
KOTA DEPOK,2.14,2018
KOTA CIMAHI,4.94,2018
KOTA TASIKMALAYA,12.71,2018
KOTA BANJAR,5.7,2018
KABUPATEN BOGOR,6.66,2019
KABUPATEN SUKABUMI,6.22,2019
KABUPATEN CIANJUR,9.15,2019
KABUPATEN BANDUNG,5.94,2019
KABUPATEN GARUT,8.98,2019
KABUPATEN TASIKMALAYA,9.12,2019
KABUPATEN CIAMIS,6.65,2019
KABUPATEN KUNINGAN,11.41,2019
KABUPATEN CIREBON,9.94,2019
KABUPATEN MAJALENGKA,10.06,2019
KABUPATEN SUMEDANG,9.05,2019
KABUPATEN INDRAMAYU,11.11,2019
KABUPATEN SUBANG,8.12,2019
KABUPATEN PURWAKARTA,7.48,2019
KABUPATEN KARAWANG,7.39,2019
KABUPATEN BEKASI,4.01,2019
KABUPATEN BANDUNG BARAT,9.38,2019
KABUPATEN PANGANDARAN,7.71,2019
KOTA BOGOR,5.77,2019
KOTA SUKABUMI,6.67,2019
KOTA BANDUNG,3.38,2019
KOTA CIREBON,8.41,2019
KOTA BEKASI,3.81,2019
KOTA DEPOK,2.07,2019
KOTA CIMAHI,4.39,2019
KOTA TASIKMALAYA,11.6,2019
KOTA BANJAR,5.5,2019
KABUPATEN BOGOR,7.69,2020
KABUPATEN SUKABUMI,7.09,2020
KABUPATEN CIANJUR,10.36,2020
KABUPATEN BANDUNG,6.91,2020
KABUPATEN GARUT,9.98,2020
KABUPATEN TASIKMALAYA,10.34,2020
KABUPATEN CIAMIS,7.62,2020
KABUPATEN KUNINGAN,12.82,2020
KABUPATEN CIREBON,11.24,2020
KABUPATEN MAJALENGKA,11.43,2020
KABUPATEN SUMEDANG,10.26,2020
KABUPATEN INDRAMAYU,12.7,2020
KABUPATEN SUBANG,9.31,2020
KABUPATEN PURWAKARTA,8.27,2020
KABUPATEN KARAWANG,8.26,2020
KABUPATEN BEKASI,4.82,2020
KABUPATEN BANDUNG BARAT,10.49,2020
KABUPATEN PANGANDARAN,8.99,2020
KOTA BOGOR,6.68,2020
KOTA SUKABUMI,7.7,2020
KOTA BANDUNG,3.99,2020
KOTA CIREBON,9.52,2020
KOTA BEKASI,4.38,2020
KOTA DEPOK,2.45,2020
KOTA CIMAHI,5.11,2020
KOTA TASIKMALAYA,12.97,2020
KOTA BANJAR,6.09,2020
KOTA BANJAR,6.09,2020
