Tahun,Kabupaten_Kota,Tingkat Pengangguran
2018,KABUPATEN BOGOR,9.83
2018,KABUPATEN SUKABUMI,7.84
2018,KABUPATEN CIANJUR,10.23
2018,KABUPATEN BANDUNG,5.07
2018,KABUPATEN GARUT,7.12
2018,KABUPATEN TASIKMALAYA,6.92
2018,KABUPATEN CIAMIS,4.64
2018,KABUPATEN KUNINGAN,9.1
2018,KABUPATEN CIREBON,10.64
2018,KABUPATEN MAJALENGKA,5
2018,KABUPATEN SUMEDANG,7.54
2018,KABUPATEN INDRAMAYU,8.46
2018,KABUPATEN SUBANG,8.71
2018,KABUPATEN PURWAKARTA,9.94
2018,KABUPATEN KARAWANG,9.12
2018,KABUPATEN BEKASI,9.74
2018,KABUPATEN BANDUNG BARAT,8.55
2018,KABUPATEN PANGANDARAN,3.59
2018,KOTA BOGOR,9.74
2018,KOTA SUKABUMI,8.57
2018,KOTA BANDUNG,8.05
2018,KOTA CIREBON,9.07
2018,KOTA BEKASI,9.14
2018,KOTA DEPOK,6.66
2018,KOTA CIMAHI,8
2018,KOTA TASIKMALAYA,6.89
2018,KOTA BANJAR,5.95
2019,KABUPATEN BOGOR,9.11
2019,KABUPATEN SUKABUMI,8.05
2019,KABUPATEN CIANJUR,9.81
2019,KABUPATEN BANDUNG,5.51
2019,KABUPATEN GARUT,7.35
2019,KABUPATEN TASIKMALAYA,6.31
2019,KABUPATEN CIAMIS,5.16
2019,KABUPATEN KUNINGAN,9.68
2019,KABUPATEN CIREBON,10.35
2019,KABUPATEN MAJALENGKA,4.37
2019,KABUPATEN SUMEDANG,7.7
2019,KABUPATEN INDRAMAYU,8.35
2019,KABUPATEN SUBANG,8.68
2019,KABUPATEN PURWAKARTA,9.73
2019,KABUPATEN KARAWANG,9.68
2019,KABUPATEN BEKASI,9
2019,KABUPATEN BANDUNG BARAT,8.24
2019,KABUPATEN PANGANDARAN,4.52
2019,KOTA BOGOR,9.16
2019,KOTA SUKABUMI,8.49
2019,KOTA BANDUNG,8.18
2019,KOTA CIREBON,9.04
2019,KOTA BEKASI,8.3
2019,KOTA DEPOK,6.12
2019,KOTA CIMAHI,8.09
2019,KOTA TASIKMALAYA,6.78
2019,KOTA BANJAR,6.16
2020,KABUPATEN BOGOR,14.29
2020,KABUPATEN SUKABUMI,9.6
2020,KABUPATEN CIANJUR,11.05
2020,KABUPATEN BANDUNG,8.58
2020,KABUPATEN GARUT,8.95
2020,KABUPATEN TASIKMALAYA,7.12
2020,KABUPATEN CIAMIS,5.66
2020,KABUPATEN KUNINGAN,11.22
2020,KABUPATEN CIREBON,11.52
2020,KABUPATEN MAJALENGKA,5.84
2020,KABUPATEN SUMEDANG,9.89
2020,KABUPATEN INDRAMAYU,9.21
2020,KABUPATEN SUBANG,9.48
2020,KABUPATEN PURWAKARTA,11.07
2020,KABUPATEN KARAWANG,11.52
2020,KABUPATEN BEKASI,11.54
2020,KABUPATEN BANDUNG BARAT,12.25
2020,KABUPATEN PANGANDARAN,5.08
2020,KOTA BOGOR,12.68
2020,KOTA SUKABUMI,12.17
2020,KOTA BANDUNG,11.19
2020,KOTA CIREBON,10.97
2020,KOTA BEKASI,10.68
2020,KOTA DEPOK,9.87
2020,KOTA CIMAHI,13.3
2020,KOTA TASIKMALAYA,7.99
2020,KOTA BANJAR,6.73
